cgmlst_ST	cgmlst_distance	cgmlst_found_loci	cgmlst_genome_match	cgmlst_matching_alleles	cgmlst_subspecies	fasta_filepath	genome	h1	h2	o_antigen	qc_messages	qc_status	serogroup	serovar	serovar_antigen	serovar_cgmlst
2322266022	0.039393939393939426	330	2018-CAL-0016	317	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395086_assembly.fasta	ERR10395086_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
4291928959	0.042424242424242475	330	2018-SEQ-0304	316	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395089_assembly.fasta	ERR10395089_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
1899262651	0.054545454545454564	330	SRR1968923	312	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395090_assembly.fasta	ERR10395090_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2322266022	0.039393939393939426	330	2018-CAL-0016	317	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395091_assembly.fasta	ERR10395091_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.039393939393939426	329	2018-CAL-0016	317	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395096_assembly.fasta	ERR10395096_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2322266022	0.039393939393939426	330	2018-CAL-0016	317	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395099_assembly.fasta	ERR10395099_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
594960163	0.033333333333333326	330	2018-SEQ-0244	319	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395102_assembly.fasta	ERR10395102_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
4291928959	0.042424242424242475	330	2018-SEQ-0304	316	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10395107_assembly.fasta	ERR10395107_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
259529095	0.039393939393939426	330	2018-SEQ-0501	317	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10441490_assembly.fasta	ERR10441490_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
3719781076	0.042424242424242475	330	2018-SEQ-0501	316	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR10441525_assembly.fasta	ERR10441525_assembly	g,p	-	1,9,12[Vi]	FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=330)	FAIL	-	Dublin	Kiel|Dublin|Sylvania	Dublin
3499750622	0.05757575757575761	330	SRR1968923	311	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11191889_assembly.fasta	ERR11191889_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.0636363636363636	329	SRR1968923	309	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11191894_assembly.fasta	ERR11191894_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2144910926	0.045454545454545414	330	SRR1968923	315	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192043_assembly.fasta	ERR11192043_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2144910926	0.045454545454545414	330	SRR1968923	315	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192044_assembly.fasta	ERR11192044_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
653446913	0.054545454545454564	330	SRR1968923	312	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192068_assembly.fasta	ERR11192068_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2533559618	0.054545454545454564	330	SRR1968923	312	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192071_assembly.fasta	ERR11192071_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.05757575757575761	329	SRR1958638	311	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192077_assembly.fasta	ERR11192077_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
4029997957	0.048484848484848464	330	SRR1968923	314	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192081_assembly.fasta	ERR11192081_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
1460146736	0.045454545454545414	330	SRR1958638	315	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192375_assembly.fasta	ERR11192375_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.07272727272727275	323	SRR1968923	306	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192379_assembly.fasta	ERR11192379_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=323)	PASS	D1	Dublin	Kiel|Dublin	Dublin
4029997957	0.048484848484848464	330	SRR1968923	314	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192399_assembly.fasta	ERR11192399_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2144910926	0.045454545454545414	330	SRR1968923	315	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11192417_assembly.fasta	ERR11192417_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
2553156276	0.05757575757575761	330	SRR1106394	311	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11196271_assembly.fasta	ERR11196271_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
3823342772	0.048484848484848464	330	SRR1968923	314	enterica	/scratch/smk459/brazildub/3.0-unicycler_entero/assemblies/ERR11196301_assembly.fasta	ERR11196301_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
