file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ERR10395086.filt_1P.fq	FASTQ	DNA	951039	214457207	22	225.5	301
ERR10395086.filt_2P.fq	FASTQ	DNA	951039	198917408	12	209.2	301
ERR10395089.filt_1P.fq	FASTQ	DNA	1005728	212262787	36	211.1	301
ERR10395089.filt_2P.fq	FASTQ	DNA	1005728	199647161	36	198.5	301
ERR10395090.filt_1P.fq	FASTQ	DNA	867223	194312366	10	224.1	301
ERR10395090.filt_2P.fq	FASTQ	DNA	867223	177099308	36	204.2	301
ERR10395091.filt_1P.fq	FASTQ	DNA	831040	193872947	36	233.3	301
ERR10395091.filt_2P.fq	FASTQ	DNA	831040	177555597	36	213.7	301
ERR10395096.filt_1P.fq	FASTQ	DNA	782913	168747059	36	215.5	301
ERR10395096.filt_2P.fq	FASTQ	DNA	782913	155951900	28	199.2	301
ERR10395099.filt_1P.fq	FASTQ	DNA	778045	173706046	15	223.3	301
ERR10395099.filt_2P.fq	FASTQ	DNA	778045	161738149	36	207.9	301
ERR10395102.filt_1P.fq	FASTQ	DNA	769015	177604069	36	231.0	301
ERR10395102.filt_2P.fq	FASTQ	DNA	769015	160857043	36	209.2	301
ERR10395107.filt_1P.fq	FASTQ	DNA	894119	196924862	36	220.2	301
ERR10395107.filt_2P.fq	FASTQ	DNA	894119	176000395	36	196.8	301
ERR10441490.filt_1P.fq	FASTQ	DNA	1109648	148409006	36	133.7	151
ERR10441490.filt_2P.fq	FASTQ	DNA	1109648	149919716	36	135.1	151
ERR10441525.filt_1P.fq	FASTQ	DNA	1651559	215267372	36	130.3	151
ERR10441525.filt_2P.fq	FASTQ	DNA	1651559	214617349	36	129.9	151
ERR11191889.filt_1P.fq	FASTQ	DNA	601734	133346043	5	221.6	251
ERR11191889.filt_2P.fq	FASTQ	DNA	601734	123366591	36	205.0	251
ERR11191894.filt_1P.fq	FASTQ	DNA	770560	164494422	36	213.5	251
ERR11191894.filt_2P.fq	FASTQ	DNA	770560	154616666	36	200.7	251
ERR11192043.filt_1P.fq	FASTQ	DNA	1198561	259963535	36	216.9	251
ERR11192043.filt_2P.fq	FASTQ	DNA	1198561	249302003	36	208.0	251
ERR11192044.filt_1P.fq	FASTQ	DNA	1034286	230097631	26	222.5	251
ERR11192044.filt_2P.fq	FASTQ	DNA	1034286	219323470	36	212.1	251
ERR11192068.filt_1P.fq	FASTQ	DNA	681655	146959637	36	215.6	251
ERR11192068.filt_2P.fq	FASTQ	DNA	681655	139195825	36	204.2	251
ERR11192071.filt_1P.fq	FASTQ	DNA	1146837	244691168	36	213.4	251
ERR11192071.filt_2P.fq	FASTQ	DNA	1146837	221400522	36	193.1	249
ERR11192077.filt_1P.fq	FASTQ	DNA	873500	199608797	19	228.5	251
ERR11192077.filt_2P.fq	FASTQ	DNA	873500	190118928	36	217.7	251
ERR11192081.filt_1P.fq	FASTQ	DNA	902672	206019760	36	228.2	251
ERR11192081.filt_2P.fq	FASTQ	DNA	902672	199986681	36	221.5	251
ERR11192375.filt_1P.fq	FASTQ	DNA	858136	194909047	36	227.1	251
ERR11192375.filt_2P.fq	FASTQ	DNA	858136	185205401	36	215.8	251
ERR11192379.filt_1P.fq	FASTQ	DNA	381938	89476410	36	234.3	251
ERR11192379.filt_2P.fq	FASTQ	DNA	381938	85278104	36	223.3	251
ERR11192399.filt_1P.fq	FASTQ	DNA	707194	157646230	36	222.9	251
ERR11192399.filt_2P.fq	FASTQ	DNA	707194	153049302	15	216.4	251
ERR11192417.filt_1P.fq	FASTQ	DNA	741527	169414538	36	228.5	251
ERR11192417.filt_2P.fq	FASTQ	DNA	741527	159670453	36	215.3	251
ERR11196271.filt_1P.fq	FASTQ	DNA	753151	163390783	36	216.9	251
ERR11196271.filt_2P.fq	FASTQ	DNA	753151	152418878	36	202.4	251
ERR11196301.filt_1P.fq	FASTQ	DNA	542179	123405843	36	227.6	251
ERR11196301.filt_2P.fq	FASTQ	DNA	542179	119633668	36	220.7	251
ERR11196304.filt_1P.fq	FASTQ	DNA	517580	116129667	36	224.4	251
ERR11196304.filt_2P.fq	FASTQ	DNA	517580	113160236	36	218.6	251
ERR11196399.filt_1P.fq	FASTQ	DNA	1096591	242798618	36	221.4	251
ERR11196399.filt_2P.fq	FASTQ	DNA	1096591	231073426	16	210.7	251
ERR11196450.filt_1P.fq	FASTQ	DNA	1307574	293981677	36	224.8	251
ERR11196450.filt_2P.fq	FASTQ	DNA	1307574	275583133	36	210.8	251
ERR11196507.filt_1P.fq	FASTQ	DNA	1127179	239353423	36	212.3	251
ERR11196507.filt_2P.fq	FASTQ	DNA	1127179	226874166	36	201.3	251
ERR11196515.filt_1P.fq	FASTQ	DNA	1108463	248753864	36	224.4	251
ERR11196515.filt_2P.fq	FASTQ	DNA	1108463	233916731	36	211.0	251
ERR11196531.filt_1P.fq	FASTQ	DNA	971397	189148414	36	194.7	251
ERR11196531.filt_2P.fq	FASTQ	DNA	971397	170609106	36	175.6	247
ERR11196540.filt_1P.fq	FASTQ	DNA	690871	147895825	36	214.1	251
ERR11196540.filt_2P.fq	FASTQ	DNA	690871	137660319	36	199.3	251
ERR11196560.filt_1P.fq	FASTQ	DNA	1243992	232097489	4	186.6	251
ERR11196560.filt_2P.fq	FASTQ	DNA	1243992	223635550	36	179.8	251
ERR11196585.filt_1P.fq	FASTQ	DNA	470894	109757585	36	233.1	251
ERR11196585.filt_2P.fq	FASTQ	DNA	470894	98174205	36	208.5	251
ERR11196597.filt_1P.fq	FASTQ	DNA	1376785	305119051	36	221.6	251
ERR11196597.filt_2P.fq	FASTQ	DNA	1376785	287933199	36	209.1	251
ERR11196708.filt_1P.fq	FASTQ	DNA	618653	138049685	36	223.1	251
ERR11196708.filt_2P.fq	FASTQ	DNA	618653	129306743	36	209.0	251
ERR11196829.filt_1P.fq	FASTQ	DNA	930269	204938048	36	220.3	251
ERR11196829.filt_2P.fq	FASTQ	DNA	930269	201000734	36	216.1	251
ERR11196865.filt_1P.fq	FASTQ	DNA	750308	163666196	3	218.1	251
ERR11196865.filt_2P.fq	FASTQ	DNA	750308	158720657	36	211.5	251
ERR11196902.filt_1P.fq	FASTQ	DNA	1081925	243516698	36	225.1	251
ERR11196902.filt_2P.fq	FASTQ	DNA	1081925	235549445	4	217.7	251
ERR11197013.filt_1P.fq	FASTQ	DNA	850630	183387011	36	215.6	251
ERR11197013.filt_2P.fq	FASTQ	DNA	850630	168513200	36	198.1	251
ERR14757536.filt_1P.fq	FASTQ	DNA	1841244	273409971	36	148.5	151
ERR14757536.filt_2P.fq	FASTQ	DNA	1841244	272088310	36	147.8	151
ERR8568688.filt_1P.fq	FASTQ	DNA	1309509	188386269	36	143.9	151
ERR8568688.filt_2P.fq	FASTQ	DNA	1309509	187847989	36	143.4	151
ERR8568689.filt_1P.fq	FASTQ	DNA	1159252	165547581	36	142.8	151
ERR8568689.filt_2P.fq	FASTQ	DNA	1159252	164767143	36	142.1	151
ERR8568691.filt_1P.fq	FASTQ	DNA	1560902	226315473	36	145.0	151
ERR8568691.filt_2P.fq	FASTQ	DNA	1560902	225570706	3	144.5	151
ERR8568692.filt_1P.fq	FASTQ	DNA	1629962	236139334	36	144.9	151
ERR8568692.filt_2P.fq	FASTQ	DNA	1629962	235642103	13	144.6	151
ERR8568696.filt_1P.fq	FASTQ	DNA	1642020	230168058	36	140.2	151
ERR8568696.filt_2P.fq	FASTQ	DNA	1642020	230041577	36	140.1	151
ERR8568698.filt_1P.fq	FASTQ	DNA	1571693	226547201	36	144.1	151
ERR8568698.filt_2P.fq	FASTQ	DNA	1571693	225615328	36	143.5	151
ERR8568699.filt_1P.fq	FASTQ	DNA	1639880	236391735	35	144.2	151
ERR8568699.filt_2P.fq	FASTQ	DNA	1639880	235739600	36	143.8	151
ERR8568700.filt_1P.fq	FASTQ	DNA	1825726	262027546	36	143.5	151
ERR8568700.filt_2P.fq	FASTQ	DNA	1825726	261452903	36	143.2	151
ERR8568706.filt_1P.fq	FASTQ	DNA	1690290	242018501	35	143.2	151
ERR8568706.filt_2P.fq	FASTQ	DNA	1690290	241364966	36	142.8	151
ERR8568707.filt_1P.fq	FASTQ	DNA	1824544	257973320	36	141.4	151
ERR8568707.filt_2P.fq	FASTQ	DNA	1824544	257436355	36	141.1	151
ERR8568710.filt_1P.fq	FASTQ	DNA	2036469	284849728	36	139.9	151
ERR8568710.filt_2P.fq	FASTQ	DNA	2036469	284409476	36	139.7	151
ERR8568715.filt_1P.fq	FASTQ	DNA	1366557	200344628	36	146.6	151
ERR8568715.filt_2P.fq	FASTQ	DNA	1366557	199146287	36	145.7	151
ERR8568716.filt_1P.fq	FASTQ	DNA	1491677	217511198	36	145.8	151
ERR8568716.filt_2P.fq	FASTQ	DNA	1491677	217051223	36	145.5	151
ERR8568749.filt_1P.fq	FASTQ	DNA	1556776	228715858	36	146.9	151
ERR8568749.filt_2P.fq	FASTQ	DNA	1556776	228018378	36	146.5	151
ERR8568751.filt_1P.fq	FASTQ	DNA	2421009	331445920	8	136.9	151
ERR8568751.filt_2P.fq	FASTQ	DNA	2421009	330720844	36	136.6	151
ERR8568753.filt_1P.fq	FASTQ	DNA	1766640	249540178	36	141.3	151
