file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ERR10395086_1.fastq.gz	FASTQ	DNA	1006507	235267193	35	233.7	301
ERR10395086_2.fastq.gz	FASTQ	DNA	1006507	235874913	35	234.3	301
ERR10395089_1.fastq.gz	FASTQ	DNA	1061733	230908912	35	217.5	301
ERR10395089_2.fastq.gz	FASTQ	DNA	1061733	231372185	35	217.9	301
ERR10395090_1.fastq.gz	FASTQ	DNA	926172	215935890	35	233.1	301
ERR10395090_2.fastq.gz	FASTQ	DNA	926172	216784144	35	234.1	301
ERR10395091_1.fastq.gz	FASTQ	DNA	883741	213357660	35	241.4	301
ERR10395091_2.fastq.gz	FASTQ	DNA	883741	213906500	35	242.0	301
ERR10395096_1.fastq.gz	FASTQ	DNA	831088	184245910	35	221.7	301
ERR10395096_2.fastq.gz	FASTQ	DNA	831088	185037978	35	222.6	301
ERR10395099_1.fastq.gz	FASTQ	DNA	822914	190582802	35	231.6	301
ERR10395099_2.fastq.gz	FASTQ	DNA	822914	191116581	35	232.2	301
ERR10395102_1.fastq.gz	FASTQ	DNA	821816	195158432	35	237.5	301
ERR10395102_2.fastq.gz	FASTQ	DNA	821816	196061983	35	238.6	301
ERR10395107_1.fastq.gz	FASTQ	DNA	963696	221046823	35	229.4	301
ERR10395107_2.fastq.gz	FASTQ	DNA	963696	222477651	35	230.9	301
ERR10441490_1.fastq.gz	FASTQ	DNA	1220053	178085269	35	146.0	151
ERR10441490_2.fastq.gz	FASTQ	DNA	1220053	177991162	35	145.9	151
ERR10441525_1.fastq.gz	FASTQ	DNA	1870927	267654307	35	143.1	151
ERR10441525_2.fastq.gz	FASTQ	DNA	1870927	267627618	35	143.0	151
ERR11191889_1.fastq.gz	FASTQ	DNA	663703	152318073	35	229.5	251
ERR11191889_2.fastq.gz	FASTQ	DNA	663703	152473445	35	229.7	251
ERR11191894_1.fastq.gz	FASTQ	DNA	835932	183119412	35	219.1	251
ERR11191894_2.fastq.gz	FASTQ	DNA	835932	183394354	35	219.4	251
ERR11192043_1.fastq.gz	FASTQ	DNA	1263818	279636930	35	221.3	251
ERR11192043_2.fastq.gz	FASTQ	DNA	1263818	279868205	35	221.4	251
ERR11192044_1.fastq.gz	FASTQ	DNA	1092223	247801315	35	226.9	251
ERR11192044_2.fastq.gz	FASTQ	DNA	1092223	247992475	35	227.1	251
ERR11192068_1.fastq.gz	FASTQ	DNA	727809	161651128	35	222.1	251
ERR11192068_2.fastq.gz	FASTQ	DNA	727809	161884167	35	222.4	251
ERR11192071_1.fastq.gz	FASTQ	DNA	1228924	276953128	35	225.4	251
ERR11192071_2.fastq.gz	FASTQ	DNA	1228924	277050862	35	225.4	251
ERR11192077_1.fastq.gz	FASTQ	DNA	919844	215090950	35	233.8	251
ERR11192077_2.fastq.gz	FASTQ	DNA	919844	215142463	35	233.9	251
ERR11192081_1.fastq.gz	FASTQ	DNA	939796	220011359	35	234.1	251
ERR11192081_2.fastq.gz	FASTQ	DNA	939796	219991710	35	234.1	251
ERR11192375_1.fastq.gz	FASTQ	DNA	903617	209951829	35	232.3	251
ERR11192375_2.fastq.gz	FASTQ	DNA	903617	210054104	35	232.5	251
ERR11192379_1.fastq.gz	FASTQ	DNA	399161	94502938	35	236.8	251
ERR11192379_2.fastq.gz	FASTQ	DNA	399161	94537930	35	236.8	251
ERR11192399_1.fastq.gz	FASTQ	DNA	740463	168610334	35	227.7	251
ERR11192399_2.fastq.gz	FASTQ	DNA	740463	168651250	35	227.8	251
ERR11192417_1.fastq.gz	FASTQ	DNA	789837	183570941	35	232.4	251
ERR11192417_2.fastq.gz	FASTQ	DNA	789837	183670566	35	232.5	251
ERR11196271_1.fastq.gz	FASTQ	DNA	818535	182728472	35	223.2	251
ERR11196271_2.fastq.gz	FASTQ	DNA	818535	183106628	35	223.7	251
ERR11196301_1.fastq.gz	FASTQ	DNA	563652	130049282	35	230.7	251
ERR11196301_2.fastq.gz	FASTQ	DNA	563652	130058691	35	230.7	251
ERR11196304_1.fastq.gz	FASTQ	DNA	536474	122077866	35	227.6	251
ERR11196304_2.fastq.gz	FASTQ	DNA	536474	122074580	35	227.5	251
ERR11196399_1.fastq.gz	FASTQ	DNA	1198419	270086711	35	225.4	251
ERR11196399_2.fastq.gz	FASTQ	DNA	1198419	270306741	35	225.6	251
ERR11196450_1.fastq.gz	FASTQ	DNA	1387037	317123341	35	228.6	251
ERR11196450_2.fastq.gz	FASTQ	DNA	1387037	317501153	35	228.9	251
ERR11196507_1.fastq.gz	FASTQ	DNA	1192314	263094611	35	220.7	251
ERR11196507_2.fastq.gz	FASTQ	DNA	1192314	263232586	35	220.8	251
ERR11196515_1.fastq.gz	FASTQ	DNA	1188938	271581293	35	228.4	251
ERR11196515_2.fastq.gz	FASTQ	DNA	1188938	271834383	35	228.6	251
ERR11196531_1.fastq.gz	FASTQ	DNA	1060277	216673258	35	204.4	251
ERR11196531_2.fastq.gz	FASTQ	DNA	1060277	211156376	35	199.2	251
ERR11196540_1.fastq.gz	FASTQ	DNA	733119	161119817	35	219.8	251
ERR11196540_2.fastq.gz	FASTQ	DNA	733119	161445825	35	220.2	251
ERR11196560_1.fastq.gz	FASTQ	DNA	1322081	253720143	35	191.9	251
ERR11196560_2.fastq.gz	FASTQ	DNA	1322081	253493590	35	191.7	251
ERR11196585_1.fastq.gz	FASTQ	DNA	496566	117221113	35	236.1	251
ERR11196585_2.fastq.gz	FASTQ	DNA	496566	117405084	35	236.4	251
ERR11196597_1.fastq.gz	FASTQ	DNA	1444332	323786796	35	224.2	251
ERR11196597_2.fastq.gz	FASTQ	DNA	1444332	324207229	35	224.5	251
ERR11196708_1.fastq.gz	FASTQ	DNA	661496	150498214	35	227.5	251
ERR11196708_2.fastq.gz	FASTQ	DNA	661496	150682040	35	227.8	251
ERR11196829_1.fastq.gz	FASTQ	DNA	964740	215962968	35	223.9	251
ERR11196829_2.fastq.gz	FASTQ	DNA	964740	215979854	35	223.9	251
ERR11196865_1.fastq.gz	FASTQ	DNA	785448	173569368	35	221.0	251
