file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ERR10395086_1P.fastq.gz	FASTQ	DNA	970808	218224639	36	224.8	301
ERR10395086_1P.fq.gz	FASTQ	DNA	970722	218164987	22	224.7	301
ERR10395086_1U.fastq.gz	FASTQ	DNA	31498	6240981	36	198.1	301
ERR10395086_1U.fq.gz	FASTQ	DNA	33	6232	40	188.8	301
ERR10395086_2P.fastq.gz	FASTQ	DNA	970808	202511859	36	208.6	301
ERR10395086_2P.fq.gz	FASTQ	DNA	970722	202450177	12	208.6	301
ERR10395086_2U.fastq.gz	FASTQ	DNA	1732	220905	36	127.5	301
ERR10395086_2U.fq.gz	FASTQ	DNA	53	9004	38	169.9	300
ERR10395089_1P.fastq.gz	FASTQ	DNA	1029498	216364064	36	210.2	301
ERR10395089_1P.fq.gz	FASTQ	DNA	1029401	216295391	36	210.1	301
ERR10395089_1U.fastq.gz	FASTQ	DNA	26808	5089452	36	189.8	301
ERR10395089_1U.fq.gz	FASTQ	DNA	39	6444	38	165.2	301
ERR10395089_2P.fastq.gz	FASTQ	DNA	1029498	203601002	36	197.8	301
ERR10395089_2P.fq.gz	FASTQ	DNA	1029401	203529789	35	197.7	301
ERR10395089_2U.fastq.gz	FASTQ	DNA	1895	234593	36	123.8	301
ERR10395089_2U.fq.gz	FASTQ	DNA	58	8874	38	153.0	300
ERR10395090_1P.fastq.gz	FASTQ	DNA	888458	198376724	36	223.3	301
ERR10395090_1P.fq.gz	FASTQ	DNA	888386	198315908	10	223.2	301
ERR10395090_1U.fastq.gz	FASTQ	DNA	33856	6665822	36	196.9	301
ERR10395090_1U.fq.gz	FASTQ	DNA	21	4042	48	192.5	301
ERR10395090_2P.fastq.gz	FASTQ	DNA	888458	180914782	36	203.6	301
ERR10395090_2P.fq.gz	FASTQ	DNA	888386	180860448	36	203.6	301
ERR10395090_2U.fastq.gz	FASTQ	DNA	1625	205533	36	126.5	301
ERR10395090_2U.fq.gz	FASTQ	DNA	51	8710	48	170.8	300
ERR10395091_1P.fastq.gz	FASTQ	DNA	847672	197157987	36	232.6	301
ERR10395091_1P.fq.gz	FASTQ	DNA	847607	197111276	36	232.6	301
ERR10395091_1U.fastq.gz	FASTQ	DNA	32363	6536151	36	202.0	301
ERR10395091_1U.fq.gz	FASTQ	DNA	25	4822	54	192.9	301
ERR10395091_2P.fastq.gz	FASTQ	DNA	847672	180653053	36	213.1	301
ERR10395091_2P.fq.gz	FASTQ	DNA	847607	180604868	36	213.1	301
ERR10395091_2U.fastq.gz	FASTQ	DNA	1232	152535	36	123.8	301
ERR10395091_2U.fq.gz	FASTQ	DNA	40	7538	39	188.5	301
ERR10395096_1P.fastq.gz	FASTQ	DNA	800023	171856288	36	214.8	301
ERR10395096_1P.fq.gz	FASTQ	DNA	799954	171806236	36	214.8	301
ERR10395096_1U.fastq.gz	FASTQ	DNA	28116	5690848	36	202.4	301
ERR10395096_1U.fq.gz	FASTQ	DNA	27	5373	48	199.0	301
ERR10395096_2P.fastq.gz	FASTQ	DNA	800023	158914937	36	198.6	301
ERR10395096_2P.fq.gz	FASTQ	DNA	799954	158857788	28	198.6	301
ERR10395096_2U.fastq.gz	FASTQ	DNA	1188	144629	36	121.7	301
ERR10395096_2U.fq.gz	FASTQ	DNA	42	6885	44	163.9	301
ERR10395099_1P.fastq.gz	FASTQ	DNA	795224	177015315	36	222.6	301
ERR10395099_1P.fq.gz	FASTQ	DNA	795173	176970687	15	222.6	301
ERR10395099_1U.fastq.gz	FASTQ	DNA	24116	4642780	36	192.5	301
ERR10395099_1U.fq.gz	FASTQ	DNA	19	4117	83	216.7	301
ERR10395099_2P.fastq.gz	FASTQ	DNA	795224	164902005	36	207.4	301
ERR10395099_2P.fq.gz	FASTQ	DNA	795173	164851071	32	207.3	301
ERR10395099_2U.fastq.gz	FASTQ	DNA	1477	194385	36	131.6	301
ERR10395099_2U.fq.gz	FASTQ	DNA	32	5338	38	166.8	300
ERR10395102_1P.fastq.gz	FASTQ	DNA	785996	180948536	36	230.2	301
ERR10395102_1P.fq.gz	FASTQ	DNA	785950	180909511	36	230.2	301
ERR10395102_1U.fastq.gz	FASTQ	DNA	33179	7129648	36	214.9	301
ERR10395102_1U.fq.gz	FASTQ	DNA	18	3689	40	204.9	301
ERR10395102_2P.fastq.gz	FASTQ	DNA	785996	164016745	36	208.7	301
ERR10395102_2P.fq.gz	FASTQ	DNA	785950	163966984	36	208.6	301
ERR10395102_2U.fastq.gz	FASTQ	DNA	937	114888	36	122.6	301
ERR10395102_2U.fq.gz	FASTQ	DNA	27	4643	47	172.0	301
ERR10395107_1P.fastq.gz	FASTQ	DNA	914642	200557776	36	219.3	301
ERR10395107_1P.fq.gz	FASTQ	DNA	914610	200480929	35	219.2	301
ERR10395107_1U.fastq.gz	FASTQ	DNA	43904	9170887	36	208.9	301
ERR10395107_1U.fq.gz	FASTQ	DNA	13	2378	52	182.9	301
ERR10395107_2P.fastq.gz	FASTQ	DNA	914642	179370963	36	196.1	301
ERR10395107_2P.fq.gz	FASTQ	DNA	914610	179301214	35	196.0	301
ERR10395107_2U.fastq.gz	FASTQ	DNA	2121	243064	36	114.6	301
ERR10395107_2U.fq.gz	FASTQ	DNA	19	2912	43	153.3	300
ERR10441490_1P.fastq.gz	FASTQ	DNA	1134047	151216831	36	133.3	151
ERR10441490_1P.fq.gz	FASTQ	DNA	1134035	151162597	33	133.3	151
ERR10441490_1U.fastq.gz	FASTQ	DNA	48736	5452112	36	111.9	151
ERR10441490_1U.fq.gz	FASTQ	DNA	3	354	53	118.0	151
ERR10441490_2P.fastq.gz	FASTQ	DNA	1134047	152763309	36	134.7	151
ERR10441490_2P.fq.gz	FASTQ	DNA	1134035	152697790	33	134.6	151
ERR10441490_2U.fastq.gz	FASTQ	DNA	28692	3247019	36	113.2	151
ERR10441490_2U.fq.gz	FASTQ	DNA	9	951	50	105.7	151
ERR10441525_1P.fastq.gz	FASTQ	DNA	1696124	220146092	36	129.8	151
ERR10441525_1P.fq.gz	FASTQ	DNA	1696112	219998504	29	129.7	151
ERR10441525_1U.fastq.gz	FASTQ	DNA	108613	11927851	36	109.8	151
ERR10441525_1U.fq.gz	FASTQ	DNA	2	239	88	119.5	151
ERR10441525_2P.fastq.gz	FASTQ	DNA	1696124	219533041	36	129.4	151
ERR10441525_2P.fq.gz	FASTQ	DNA	1696112	219328653	29	129.3	151
ERR10441525_2U.fastq.gz	FASTQ	DNA	46129	4898313	36	106.2	151
ERR10441525_2U.fq.gz	FASTQ	DNA	10	1293	42	129.3	151
ERR11191889_1P.fastq.gz	FASTQ	DNA	624106	138089094	36	221.3	251
ERR11191889_1P.fq.gz	FASTQ	DNA	624091	138062953	5	221.2	251
ERR11191889_1U.fastq.gz	FASTQ	DNA	36715	6705322	36	182.6	251
ERR11191889_1U.fq.gz	FASTQ	DNA	3	593	133	197.7	250
ERR11191889_2P.fastq.gz	FASTQ	DNA	624106	127803275	36	204.8	251
ERR11191889_2P.fq.gz	FASTQ	DNA	624091	127786492	36	204.8	251
ERR11191889_2U.fastq.gz	FASTQ	DNA	1560	203845	36	130.7	251
ERR11191889_2U.fq.gz	FASTQ	DNA	12	2162	127	180.2	251
ERR11191894_1P.fastq.gz	FASTQ	DNA	797535	169934918	36	213.1	251
ERR11191894_1P.fq.gz	FASTQ	DNA	797514	169897237	36	213.0	251
ERR11191894_1U.fastq.gz	FASTQ	DNA	35525	6447554	36	181.5	251
ERR11191894_1U.fq.gz	FASTQ	DNA	12	2497	138	208.1	251
ERR11191894_2P.fastq.gz	FASTQ	DNA	797535	159774862	36	200.3	251
ERR11191894_2P.fq.gz	FASTQ	DNA	797514	159745684	36	200.3	251
ERR11191894_2U.fastq.gz	FASTQ	DNA	1636	214840	36	131.3	251
ERR11191894_2U.fq.gz	FASTQ	DNA	9	1728	129	192.0	250
ERR11192043_1P.fastq.gz	FASTQ	DNA	1219138	264002683	36	216.5	251
ERR11192043_1P.fq.gz	FASTQ	DNA	1219102	263957150	36	216.5	251
ERR11192043_1U.fastq.gz	FASTQ	DNA	40502	7280655	36	179.8	251
ERR11192043_1U.fq.gz	FASTQ	DNA	6	868	65	144.7	251
ERR11192043_2P.fastq.gz	FASTQ	DNA	1219138	253208901	36	207.7	251
ERR11192043_2P.fq.gz	FASTQ	DNA	1219102	253172803	36	207.7	251
ERR11192043_2U.fastq.gz	FASTQ	DNA	2241	308016	36	137.4	251
ERR11192043_2U.fq.gz	FASTQ	DNA	30	5652	37	188.4	251
ERR11192044_1P.fastq.gz	FASTQ	DNA	1051066	233516962	36	222.2	251
ERR11192044_1P.fq.gz	FASTQ	DNA	1051019	233480757	26	222.1	251
ERR11192044_1U.fastq.gz	FASTQ	DNA	37545	6846154	36	182.3	251
ERR11192044_1U.fq.gz	FASTQ	DNA	19	3744	53	197.1	251
ERR11192044_2P.fastq.gz	FASTQ	DNA	1051066	222625609	36	211.8	251
ERR11192044_2P.fq.gz	FASTQ	DNA	1051019	222595120	36	211.8	251
ERR11192044_2U.fastq.gz	FASTQ	DNA	1791	242081	36	135.2	251
ERR11192044_2U.fq.gz	FASTQ	DNA	28	5151	45	184.0	251
ERR11192068_1P.fastq.gz	FASTQ	DNA	692498	149108702	36	215.3	251
ERR11192068_1P.fq.gz	FASTQ	DNA	692484	149079826	36	215.3	251
ERR11192068_1U.fastq.gz	FASTQ	DNA	32277	5680747	36	176.0	251
ERR11192068_1U.fq.gz	FASTQ	DNA	3	671	171	223.7	251
ERR11192068_2P.fastq.gz	FASTQ	DNA	692498	141256077	36	204.0	251
ERR11192068_2P.fq.gz	FASTQ	DNA	692484	141231815	34	203.9	251
ERR11192068_2U.fastq.gz	FASTQ	DNA	1652	211927	36	128.3	251
ERR11192068_2U.fq.gz	FASTQ	DNA	11	2013	65	183.0	251
ERR11192071_1P.fastq.gz	FASTQ	DNA	1167429	248752488	36	213.1	251
ERR11192071_1P.fq.gz	FASTQ	DNA	1167415	248708255	36	213.0	251
ERR11192071_1U.fastq.gz	FASTQ	DNA	56167	9622958	36	171.3	251
ERR11192071_1U.fq.gz	FASTQ	DNA	5	1005	99	201.0	251
ERR11192071_2P.fastq.gz	FASTQ	DNA	1167429	225169888	36	192.9	249
ERR11192071_2P.fq.gz	FASTQ	DNA	1167415	225136177	36	192.9	249
ERR11192071_2U.fastq.gz	FASTQ	DNA	2678	309995	36	115.8	249
ERR11192071_2U.fq.gz	FASTQ	DNA	9	1567	56	174.1	247
ERR11192077_1P.fastq.gz	FASTQ	DNA	885086	202075739	36	228.3	251
ERR11192077_1P.fq.gz	FASTQ	DNA	885076	202057003	19	228.3	251
ERR11192077_1U.fastq.gz	FASTQ	DNA	31920	5248517	36	164.4	251
ERR11192077_1U.fq.gz	FASTQ	DNA	4	996	246	249.0	250
ERR11192077_2P.fastq.gz	FASTQ	DNA	885086	192495481	36	217.5	251
ERR11192077_2P.fq.gz	FASTQ	DNA	885076	192482438	36	217.5	251
ERR11192077_2U.fastq.gz	FASTQ	DNA	1520	223095	36	146.8	251
ERR11192077_2U.fq.gz	FASTQ	DNA	6	1032	73	172.0	251
ERR11192081_1P.fastq.gz	FASTQ	DNA	915381	208719411	36	228.0	251
ERR11192081_1P.fq.gz	FASTQ	DNA	915367	208701987	19	228.0	251
ERR11192081_1U.fastq.gz	FASTQ	DNA	21752	3375593	36	155.2	251
ERR11192081_1U.fq.gz	FASTQ	DNA	3	595	172	198.3	235
ERR11192081_2P.fastq.gz	FASTQ	DNA	915381	202631363	36	221.4	251
ERR11192081_2P.fq.gz	FASTQ	DNA	915367	202618810	36	221.4	251
ERR11192081_2U.fastq.gz	FASTQ	DNA	1735	279334	36	161.0	251
ERR11192081_2U.fq.gz	FASTQ	DNA	11	2010	41	182.7	251
ERR11192375_1P.fastq.gz	FASTQ	DNA	871647	197743951	36	226.9	251
ERR11192375_1P.fq.gz	FASTQ	DNA	871631	197723069	36	226.8	251
ERR11192375_1U.fastq.gz	FASTQ	DNA	29513	5161517	36	174.9	251
ERR11192375_1U.fq.gz	FASTQ	DNA	9	1955	116	217.2	251
ERR11192375_2P.fastq.gz	FASTQ	DNA	871647	187934086	36	215.6	251
ERR11192375_2P.fq.gz	FASTQ	DNA	871631	187917651	36	215.6	251
ERR11192375_2U.fastq.gz	FASTQ	DNA	1401	206756	36	147.6	251
ERR11192375_2U.fq.gz	FASTQ	DNA	7	1201	54	171.6	251
ERR11192379_1P.fastq.gz	FASTQ	DNA	387174	90602864	36	234.0	251
ERR11192379_1P.fq.gz	FASTQ	DNA	387167	90596872	36	234.0	251
ERR11192379_1U.fastq.gz	FASTQ	DNA	10377	1699263	36	163.8	251
ERR11192379_1U.fq.gz	FASTQ	DNA	4	988	242	247.0	251
ERR11192379_2P.fastq.gz	FASTQ	DNA	387174	86365164	36	223.1	251
ERR11192379_2P.fq.gz	FASTQ	DNA	387167	86359787	36	223.1	251
ERR11192379_2U.fastq.gz	FASTQ	DNA	690	117618	36	170.5	251
ERR11192379_2U.fq.gz	FASTQ	DNA	3	687	205	229.0	250
ERR11192399_1P.fastq.gz	FASTQ	DNA	720307	160296488	36	222.5	251
ERR11192399_1P.fq.gz	FASTQ	DNA	720275	160267210	36	222.5	251
ERR11192399_1U.fastq.gz	FASTQ	DNA	18009	2921314	36	162.2	251
ERR11192399_1U.fq.gz	FASTQ	DNA	11	1935	53	175.9	251
ERR11192399_2P.fastq.gz	FASTQ	DNA	720307	155645524	36	216.1	251
ERR11192399_2P.fq.gz	FASTQ	DNA	720275	155624597	15	216.1	251
ERR11192399_2U.fastq.gz	FASTQ	DNA	1455	223771	36	153.8	251
ERR11192399_2U.fq.gz	FASTQ	DNA	21	3794	48	180.7	250
ERR11192417_1P.fastq.gz	FASTQ	DNA	753698	171893820	36	228.1	251
ERR11192417_1P.fq.gz	FASTQ	DNA	753681	171871073	36	228.0	251
ERR11192417_1U.fastq.gz	FASTQ	DNA	33896	6147223	36	181.4	251
ERR11192417_1U.fq.gz	FASTQ	DNA	11	2531	168	230.1	251
ERR11192417_2P.fastq.gz	FASTQ	DNA	753698	162035362	36	215.0	251
ERR11192417_2P.fq.gz	FASTQ	DNA	753681	162019081	36	215.0	251
ERR11192417_2U.fastq.gz	FASTQ	DNA	1107	151590	36	136.9	251
ERR11192417_2U.fq.gz	FASTQ	DNA	6	1249	140	208.2	250
ERR11196271_1P.fastq.gz	FASTQ	DNA	769240	166548972	36	216.5	251
ERR11196271_1P.fq.gz	FASTQ	DNA	769228	166511428	36	216.5	251
ERR11196271_1U.fastq.gz	FASTQ	DNA	45212	8449475	36	186.9	251
ERR11196271_1U.fq.gz	FASTQ	DNA	5	932	70	186.4	250
ERR11196271_2P.fastq.gz	FASTQ	DNA	769240	155411233	36	202.0	251
ERR11196271_2P.fq.gz	FASTQ	DNA	769228	155380439	36	202.0	251
