"ID"	"Completeness"	"Contamination"	"Strain.heterogeneity"	"# contigs (>= 0 bp)"	"# contigs (>= 1000 bp)"	"# contigs (>= 5000 bp)"	"# contigs (>= 10000 bp)"	"# contigs (>= 25000 bp)"	"# contigs (>= 50000 bp)"	"Total length (>= 0 bp)"	"Total length (>= 1000 bp)"	"Total length (>= 5000 bp)"	"Total length (>= 10000 bp)"	"Total length (>= 25000 bp)"	"Total length (>= 50000 bp)"	"# contigs"	"Largest contig"	"Total length"	"GC (%)"	"N50"	"N90"	"auN"	"L50"	"L90"	"# N's per 100 kbp"	"o_antigen"	"h1"	"serogroup"	"serovar"	"Predicted.antigenic.profile"	"Predicted.serotype"	"ST"
"1"	"ERR10395086"	99.67	0.09	0	70	34	26	23	21	16	4834174	4824056	4802865	4785966	4754526	4574763	41	736654	4828492	52.11	401534	88873	365981	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"2"	"ERR10395089"	99.67	0.07	0	62	30	25	21	19	15	4840387	4830670	4819008	4796894	4765521	4619237	38	736372	4835665	52.11	405539	88873	427028.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"3"	"ERR10395090"	99.71	0.07	0	72	42	36	34	30	19	4916035	4906185	4891135	4879636	4818379	4421925	48	678814	4910547	52.07	314160	61702	317269.1	6	19	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"4"	"ERR10395091"	99.67	0.07	0	68	36	28	26	24	18	4836941	4828362	4807055	4795451	4760921	4539068	42	736651	4831962	52.11	282066	76883	343871.8	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"5"	"ERR10395096"	99.71	0.07	0	64	30	25	22	21	17	4832553	4822723	4810949	4794383	4782117	4635828	38	609789	4827718	52.11	401544	76883	356935	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"6"	"ERR10395099"	99.67	0.07	0	63	30	24	23	21	17	4834233	4824064	4809163	4802872	4770243	4623960	38	741701	4829154	52.11	384047	109548	364445.2	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"7"	"ERR10395102"	99.71	0.07	0	59	31	25	23	21	17	4835059	4826901	4813863	4802407	4770723	4624439	38	742133	4831060	52.11	401533	88869	368969.3	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"8"	"ERR10395107"	99.67	0.07	0	60	27	21	19	18	14	4840742	4830957	4814806	4803249	4785196	4638912	35	736664	4835952	52.11	405539	153576	442181	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"9"	"ERR10441490"	99.61	0.37	0	115	90	75	69	48	31	4862669	4855478	4809056	4762959	4386627	3767646	94	269084	4858377	52.23	110140	25588	129830.6	14	48	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"10"	"ERR10441525"	99.41	0.07	0	145	130	116	104	74	33	4773238	4767957	4726143	4640560	4131482	2647416	135	192253	4771250	52.26	53224	20487	65435.5	28	82	0	"1,9,12[Vi]"	"g,p"	"-"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"11"	"ERR11191889"	99.71	0.07	0	55	29	24	19	18	14	4850301	4840369	4824461	4795127	4783400	4632335	38	742604	4846553	52.12	405368	153515	442572.1	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"12"	"ERR11191894"	99.41	0.07	0	252	224	169	130	64	25	4780280	4771751	4619961	4334519	3179177	1823594	229	110905	4775280	52.43	37480	10909	45130	38	127	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"13"	"ERR11192043"	99.71	0.07	0	55	28	21	19	18	14	4834023	4824879	4806091	4793348	4777579	4633989	34	731534	4829241	52.11	405533	153515	441174.4	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"14"	"ERR11192044"	99.71	0.07	0	83	58	53	50	41	26	4816629	4808689	4796485	4776969	4623036	4026943	63	636319	4812184	52.16	183682	42741	230849.3	8	33	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"15"	"ERR11192068"	99.71	0.12	0	65	33	25	22	22	17	4836311	4826089	4805167	4787819	4787819	4615600	40	678712	4831288	52.12	338814	137788	356700.7	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"16"	"ERR11192071"	99.71	0.07	0	62	35	28	24	21	15	4937264	4927308	4908509	4882016	4825956	4623142	42	741084	4932500	52.06	405533	76883	420459.5	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"17"	"ERR11192077"	99.71	0.07	0	57	30	22	19	18	14	4771349	4761826	4738955	4720762	4708855	4565924	38	746097	4767376	52.16	405549	153578	430781.2	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"18"	"ERR11192081"	99.71	0.07	0	58	29	22	19	18	14	4845590	4836483	4817845	4797597	4785147	4641558	35	741323	4840845	52.11	405533	153515	443035.4	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"19"	"ERR11192375"	99.71	0.07	0	56	30	24	20	18	14	4841678	4832232	4817404	4794227	4762569	4619611	38	739737	4837876	52.13	405516	153576	440258.4	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
